F1,SI,JI,IC_av,cluster count,segment,stream,size
,0.014598725810544451,,"[1.9745497186560357, 0.0, 1.0984743828266088, 0.10909030352671616, 0.5790610546789348, 0.187923977623776]",5,1,-,3
,0.0455691083095393,,"[1.3508649165407263, 0.7679436903108434, 0.5829212262298828]",2,2,-,3
,-0.035573737578718595,,"[1.7602160684579795, 0.7499793902425191, 0.5051183391077302, 0.5051183391077302]",3,3,-,3
,0.16965920870020598,,"[5.145646304378372, 0.3187302044071569, 0.3187302044071569, 4.508185895564058]",3,4,-,3
,-0.09208711613555508,,"[3.7881869130102865, 0.07040753147155275, 0.8926236877487962, 2.1616389106943696, 0.30826118127602625, 0.3552556018195419]",5,5,-,3
,-0.044746990512534765,,"[2.577998852920476, 1.0713686268503568, 0.043544414211799894, 1.4630858118583192]",3,6,-,3
,-0.07354989970340178,,"[1.7458029424371997, 0.0974856377183504, 1.4147309675045219, 0.2335863372143275]",3,7,-,3
,0.265676102293424,,"[1.341547300709982, 0.10886349961812863, 0.0241935483870968, 1.2084902527047565]",3,8,-,3
,-0.06849116641835208,,"[1.8848665572019132, 0.7674398387333327, 0.26086118530041413, 0.06762031809074748, 0.021505376344086207, 0.7674398387333327]",5,9,-,3
,0.01036109815587875,,"[5.805865927036108, 1.0948386318422114, 0.7809240412685297, 2.564676528193599, 1.3654267257317685]",4,10,-,3
,0.0028831541993602715,,"[4.390403688294487, 1.4307745458663799, 0.3836692869186702, 1.973897340293796, 0.3836692869186702, 0.21839322829697072]",5,11,-,3
,0.1200885503334387,,"[2.043367445078248, 1.020004269437397, 0.187923977623776, 0.8354391980170748]",3,1,-,5
,0.051210014036204926,,"[1.2321789462162631, 1.0327741994004926, 0.19940474681577047]",2,2,-,5
,-0.0135425384281422,,"[1.7293600698898535, 0.9140998555974286, 0.5727299626596607, 0.242530251632764]",3,3,-,5
,0.15069712832054766,,"[5.232239487851762, 0.21676619144533613, 0.1224520588962294, 4.8930212375101965]",3,4,-,5
,-0.018314219636861206,,"[4.063461220433438, 0.8926236877487962, 2.5526729293093524, 0.6181646033752893]",3,5,-,5
,0.0538329856259607,,"[2.676811435346062, 1.0964358739021265, 1.5803755614439354]",2,6,-,5
,0.028701539343907546,,"[1.68832401144522, 1.4901534801117793, 0.1981705313334408]",2,7,-,5
,0.24036610312456752,,"[1.345077805596346, 0.09230079911560048, 0.0241935483870968, 1.2285834580936486]",3,8,-,5
,-0.08113807654512872,,"[2.373395721159417, 2.0469337130689045, 0.13691869949094704, 0.18954330859956564]",3,9,-,5
,-0.07332032387011009,,"[5.899676430264041, 0.8848497335462566, 3.087930015367102, 1.9268966813506818]",3,10,-,5
,-0.0036039350023892593,,"[4.460297014652279, 1.1751902919434536, 1.5742165202489051, 1.5742165202489051, 0.13667368221101608]",4,11,-,5
,0.1273204868120267,,"[1.9918467264143631, 1.0743970160604988, 0.9174497103538642]",2,1,-,7
,0.05089077671601048,,"[1.2429055877194102, 1.0136265977100922, 0.2292789900093179]",2,2,-,7
,-0.027760777680803726,,"[1.7916045919384018, 1.0088019701947855, 0.4124942959673086, 0.3703083257763079]",3,3,-,7
,0.28086762676992943,,"[5.351103694549278, 0.362112189788993, 4.988991504760285]",2,4,-,7
,-0.1400985725811386,,"[4.2982565763039755, 2.0470294016189845, 0.20419777306600662, 2.0470294016189845]",3,5,-,7
,0.2783054102710695,,"[2.3442649971192195, 0.17448464318073853, 2.169780353938481]",2,6,-,7
,0.05490410153149069,,"[1.6884065935240244, 1.5126648369883002, 0.1757417565357242]",2,7,-,7
,0.4106079826828835,,"[1.351381978153238, 1.2285834580936486, 0.1227985200595894]",2,8,-,7
,0.0809682604011641,,"[2.119174047574113, 0.6357663935944414, 1.2938643453801064, 0.18954330859956564]",3,9,-,7
,0.07216752957688302,,"[5.90056696617121, 3.2420753268613915, 2.658491639309819]",2,10,-,7
,0.05788572622881642,,"[4.560579594163744, 1.645603063941244, 1.2693734662812555, 1.645603063941244]",3,11,-,7
,-0.12907127832427095,,"[1.162520859523321, 0.5223063909416057, 0.08957255886435318, 0.03545145769360624, 0.3683593598354082, 0.08957255886435318, 0.03545145769360624, 0.021807075630388008]",7,1,-,3
,-0.04187786515851353,,"[3.1261302189473126, 0.2772291705684549, 1.124128641323878, 0.4965875614118718, 1.228184845643108]",4,2,-,3
,0.03420587075671374,,"[1.3284586706164576, 0.5163416249967254, 0.8121170456197322]",2,3,-,3
,0.11619790059852118,,"[1.595809087656142, 0.6181018025475101, 0.9777072851086319]",2,4,-,3
,0.004355093618974552,,"[1.5066160701204367, 0.2795268919669232, 0.0628800724177364, 1.164209105735777]",3,5,-,3
,-0.02886351010007731,,"[1.6643319583472693, 0.7484591187400234, 0.034871882286569754, 0.8810009573206762]",3,6,-,3
,-0.1727680162866261,,"[1.6947054458187318, 0.06657236037553717, 0.06657236037553717, 0.3832492233098409, 0.02586203495960122, 0.24979743871026772, 0.9026520280879476]",6,7,-,3
,-0.1029993209784912,,"[2.0908612241795574, 0.2224713244570613, 0.5210523107406925, 0.2224713244570613, 1.045798000198525, 0.07906826432621732]",5,8,-,3
,0.14704155559147652,,"[1.3150384226880898, 0.18812812922015051, 1.1269102934679394]",2,9,-,3
,0.03165311257106494,,"[1.463895735092304, 0.1160772588448457, 1.2997203670764659, 0.04809810917099235]",3,10,-,3
,-0.01027612243442711,,"[1.4013712315243287, 0.0, 0.8854767702889854, 0.5158944612353432]",3,11,-,3
,0.031605202302897616,,"[1.2320321372544574, 0.3062159278106909, 0.35162890040525463, 0.07631268818491635, 0.07631268818491635, 0.42156193266867914]",5,1,-,5
,0.32757807993260774,,"[2.3657685789967484, 1.8428355691565264, 0.5229330098402222]",2,2,-,5
,0.04101167864425469,,"[1.3425993469070756, 0.018429649926258163, 1.3241696969808174]",2,3,-,5
,,,"[1.4873864760175308, 1.4873864760175308]",1,4,-,5
